# Blade Section Radius(2D) FT(last_step) Torque_contrib
    1    1    0.000000E+00    0.270000E+02    0.270000E+02    0.554997E+02
*****
    1    2    0.000000E+00    0.270000E+02    0.270000E+02    0.108891E+03
*****
    1    3    0.000000E+00    0.270000E+02    0.270000E+02    0.147688E+03
*****
    1    4    0.000000E+00    0.270000E+02    0.270000E+02    0.149000E+03
*****
    1    5    0.000000E+00    0.270000E+02    0.270000E+02    0.149779E+03
*****
    1    6    0.000000E+00    0.270000E+02    0.270000E+02    0.150300E+03
*****
    1    7    0.000000E+00    0.270000E+02    0.270000E+02    0.150684E+03
*****
    1    8    0.000000E+00    0.270000E+02    0.270000E+02    0.150979E+03
*****
    1    9    0.000000E+00    0.270000E+02    0.270000E+02    0.151203E+03
*****
    1   10    0.000000E+00    0.270000E+02    0.270000E+02    0.151366E+03
*****
    1   11    0.000000E+00    0.270000E+02    0.270000E+02    0.151473E+03
*****
    1   12    0.000000E+00    0.270000E+02    0.270000E+02    0.151525E+03
*****
    1   13    0.000000E+00    0.270000E+02    0.270000E+02    0.151525E+03
*****
    1   14    0.000000E+00    0.270000E+02    0.270000E+02    0.151473E+03
*****
    1   15    0.000000E+00    0.270000E+02    0.270000E+02    0.151366E+03
*****
    1   16    0.000000E+00    0.270000E+02    0.270000E+02    0.151203E+03
*****
    1   17    0.000000E+00    0.270000E+02    0.270000E+02    0.150979E+03
*****
    1   18    0.000000E+00    0.270000E+02    0.270000E+02    0.150684E+03
*****
    1   19    0.000000E+00    0.270000E+02    0.270000E+02    0.150300E+03
*****
    1   20    0.000000E+00    0.270000E+02    0.270000E+02    0.149779E+03
*****
    1   21    0.000000E+00    0.270000E+02    0.270000E+02    0.149000E+03
*****
    1   22    0.000000E+00    0.270000E+02    0.270000E+02    0.147688E+03
*****
    1   23    0.000000E+00    0.270000E+02    0.270000E+02    0.108891E+03
*****
    1   24    0.000000E+00    0.270000E+02    0.270000E+02    0.554997E+02
*****
    2    1   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.405327E+03
*****
    2    2   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.818835E+03
*****
    2    3   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.109794E+04
*****
    2    4   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.108494E+04
*****
    2    5   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.107641E+04
*****
    2    6   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.107087E+04
*****
    2    7   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106720E+04
*****
    2    8   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106476E+04
*****
    2    9   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106317E+04
*****
    2   10   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106218E+04
*****
    2   11   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106161E+04
*****
    2   12   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106135E+04
*****
    2   13   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106135E+04
*****
    2   14   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106161E+04
*****
    2   15   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106218E+04
*****
    2   16   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106317E+04
*****
    2   17   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106476E+04
*****
    2   18   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.106720E+04
*****
    2   19   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.107087E+04
*****
    2   20   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.107641E+04
*****
    2   21   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.108494E+04
*****
    2   22   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.109794E+04
*****
    2   23   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.818835E+03
*****
    2   24   -0.233827E+02   -0.135000E+02    0.270000E+02   -0.405327E+03
*****
